
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1979"	"17.161"	"17.72"	"23.388"	"29.621"	"33.335"	"32.559"	"29.245"	"28.887"	"29.011"	"27.763"	"24.408"	"18.346"
"1980"	"16.684"	"19.488"	"24.225"	"31.68"	"35.069"	"31.199"	"27.942"	"27.302"	"28.052"	"26.644"	"21.426"	"17.204"
"1981"	"16.302"	"19.58"	"24.234"	"29.755"	"32.857"	"33.236"	"28.261"	"28.381"	"28.043"	"25.579"	"20.146"	"16.387"
"1982"	"17.572"	"17.919"	"22.148"	"29.013"	"32.039"	"31.794"	"31.398"	"28.214"	"27.76"	"26.495"	"21.196"	"17.551"
"1983"	"15.052"	"18.161"	"23.977"	"27.706"	"31.707"	"33.856"	"29.282"	"28.865"	"28.508"	"25.582"	"19.852"	"17.067"
"1984"	"16.549"	"17.331"	"25.066"	"30.62"	"35.015"	"31.841"	"28.577"	"27.871"	"27.369"	"26.442"	"20.23"	"17.809"
"1985"	"17.002"	"19.07"	"26.868"	"30.984"	"34.812"	"34.087"	"28.411"	"28.272"	"28.237"	"25.225"	"21.19"	"18.435"
"1986"	"16.638"	"18.777"	"24.392"	"30.235"	"31.708"	"32.614"	"27.871"	"27.379"	"27.854"	"25.239"	"21.762"	"16.893"
"1987"	"16.019"	"19.825"	"23.902"	"30.647"	"32.628"	"35.778"	"30.185"	"29.293"	"28.501"	"26.311"	"21.443"	"16.445"
"1988"	"16.961"	"19.797"	"24.801"	"30.88"	"35.198"	"32.053"	"28.381"	"28.108"	"29.404"	"26.005"	"21.52"	"18.159"
"1989"	"15.619"	"18.822"	"24.033"	"29.722"	"34.468"	"31.876"	"28.813"	"28.407"	"28.176"	"26.358"	"21.537"	"16.964"
"1990"	"17.674"	"19.571"	"23.342"	"30.304"	"33.022"	"32.732"	"27.476"	"28.121"	"27.997"	"25.983"	"20.464"	"17.402"
"1991"	"15.967"	"20.17"	"24.858"	"29.368"	"34.521"	"32.346"	"30.641"	"27.363"	"28.217"	"25.35"	"21.117"	"16.881"
"1992"	"15.772"	"17.537"	"26.098"	"30.296"	"32.826"	"32.128"	"30.36"	"27.887"	"27.668"	"26.445"	"22.614"	"17.023"
"1993"	"16.804"	"20.251"	"23.212"	"29.1"	"34.145"	"33.538"	"30.571"	"29.466"	"27.894"	"27.309"	"21.129"	"17.392"
"1994"	"17.823"	"18.694"	"27.032"	"29.368"	"36.628"	"33.226"	"28.894"	"28.054"	"28.337"	"25.501"	"21.088"	"17.315"
"1995"	"15.289"	"19.038"	"23.232"	"30.065"	"34.743"	"35.242"	"29.887"	"27.682"	"27.461"	"26.6"	"21.2"	"17.987"
"1996"	"17.23"	"19.265"	"25.568"	"29.305"	"34.754"	"32.819"	"29.077"	"27.082"	"28.686"	"25.5"	"20.267"	"16.064"
"1997"	"15.865"	"17.784"	"24.75"	"28.598"	"32.857"	"34.584"	"31.331"	"28.171"	"27.529"	"25.388"	"21.166"	"17.631"
"1998"	"15.189"	"20.242"	"22.827"	"30.01"	"34.287"	"34.274"	"29.035"	"28.553"	"28.419"	"27.66"	"23.36"	"17.662"
"1999"	"15.431"	"20.122"	"24.914"	"31.284"	"33.493"	"32.578"	"29.096"	"28.121"	"27.619"	"26.85"	"23.486"	"17.809"
"2000"	"16.242"	"19.275"	"24.349"	"31.365"	"33.238"	"31.364"	"29.31"	"28.714"	"26.856"	"27.351"	"23.645"	"17.05"
"2001"	"15.46"	"19.374"	"24.394"	"29.17"	"33.218"	"31.207"	"28.409"	"28.695"	"28.676"	"27.045"	"22.529"	"17.426"
"2002"	"16.638"	"17.296"	"25.49"	"30.665"	"35.003"	"33.494"	"31.721"	"28.288"	"27.804"	"26.236"	"21.795"	"17.422"
